iter	RMSE
0	2.11775838
1	2.084553688
2	2.063262217
3	2.041974312
4	2.025261394
5	2.011609921
6	1.997309547
7	1.984730128
8	1.971209496
9	1.961271762
10	1.953899562
11	1.944486442
12	1.935775054
13	1.928935667
14	1.920129298
15	1.912182535
16	1.903146605
17	1.898662064
18	1.890639768
19	1.885760826
20	1.87792973
21	1.86963779
22	1.863045644
23	1.856569762
24	1.842757975
25	1.833157561
26	1.821761586
27	1.814197481
28	1.805664978
29	1.795474627
30	1.787753536
31	1.778307022
32	1.766277218
33	1.755576476
34	1.74488151
35	1.7334624
36	1.727760824
37	1.718800064
38	1.7123045
39	1.701007751
40	1.691760526
41	1.68378476
42	1.674407326
43	1.670538998
44	1.660358343
45	1.651331396
46	1.643558302
47	1.636488355
48	1.62885063
49	1.620747469
50	1.61623728
51	1.606786224
52	1.602006381
53	1.593244824
54	1.583997104
55	1.573717395
56	1.570487646
57	1.563741392
58	1.559664192
59	1.554742252
60	1.545828829
61	1.538049448
62	1.529464871
63	1.521436513
64	1.516485933
65	1.51023897
66	1.504895575
67	1.497076299
68	1.492384176
69	1.488999856
70	1.480173172
71	1.474408426
72	1.466935423
73	1.463593163
74	1.45659653
75	1.448533404
76	1.445016598
77	1.441272056
78	1.432689292
79	1.430190383
80	1.42380477
81	1.414928346
82	1.411940732
83	1.405700855
84	1.397806029
85	1.390797524
86	1.387437564
87	1.385066163
88	1.380880753
89	1.372769108
90	1.366050929
91	1.36310728
92	1.356630621
93	1.351415921
94	1.349878224
95	1.347137615
96	1.340654827
97	1.334378999
98	1.326862631
99	1.32106905
