iter	Passed	Remaining
0	127	12621
1	167	8200
2	206	6688
3	245	5890
4	282	5371
5	321	5035
6	360	4789
7	398	4586
8	437	4421
9	474	4270
10	512	4148
11	550	4038
12	588	3938
13	626	3851
14	665	3772
15	705	3706
16	746	3646
17	785	3577
18	827	3527
19	868	3473
20	910	3427
21	954	3385
22	994	3328
23	1033	3274
24	1072	3217
25	1109	3157
26	1150	3111
27	1191	3064
28	1231	3014
29	1272	2968
30	1311	2919
31	1352	2874
32	1392	2827
33	1432	2781
34	1471	2732
35	1510	2684
36	1547	2634
37	1585	2587
38	1624	2540
39	1662	2493
40	1701	2447
41	1740	2404
42	1778	2357
43	1816	2312
44	1859	2273
45	1901	2232
46	1942	2190
47	1985	2151
48	2027	2110
49	2069	2069
50	2110	2027
51	2152	1986
52	2195	1947
53	2241	1909
54	2281	1867
55	2323	1825
56	2363	1782
57	2401	1738
58	2439	1694
59	2478	1652
60	2517	1609
61	2555	1566
62	2596	1525
63	2633	1481
64	2671	1438
65	2709	1395
66	2746	1352
67	2784	1310
68	2822	1267
69	2862	1226
70	2902	1185
71	2945	1145
72	2988	1105
73	3032	1065
74	3073	1024
75	3115	983
76	3156	942
77	3198	902
78	3244	862
79	3285	821
80	3323	779
81	3364	738
82	3404	697
83	3447	656
84	3490	615
85	3531	574
86	3572	533
87	3614	492
88	3653	451
89	3692	410
90	3731	369
91	3770	327
92	3810	286
93	3848	245
94	3885	204
95	3924	163
96	3963	122
97	4000	81
98	4039	40
99	4076	0
